订单号,商品id,商品编码,下单时间,商品名称,数量,支付价格,成本价,采购成本价
2023083193163,6971973442200,6971973442200,2023-08-31 23:00:55,禧遇棉花糖,1,2.5,1.54,
2023083141300,221055484,221055484,2023-08-31 22:59:39,好丽友薯愿小包装,1,4.3,2.25,
2023083141300,6972946670095,6972946670095,2023-08-31 22:59:39,徐多谷北海道豆制品40g,1,1.2,0.70,
2023083141300,6958621301096,6958621301096,2023-08-31 22:59:39,真之味鸡蛋干,2,2.4,1.42,
2023083141300,6948004703494,6948004703494,2023-08-31 22:59:39,鲜引力甘栗仁小包装,1,5.5,3.70,
2023083135541,6922255451427,6922255451427,2023-08-31 22:33:18,百岁山矿泉水570ml,2,3.98,3.30,
2023083135541,6920698460068,6920698460068,2023-08-31 22:33:18,康师傅经典红烧牛肉面（袋装）,2,5.8,4.64,
2023083135541,6927462217279,6927462217279,2023-08-31 22:33:18,金锣健食力低脂香肠80g,1,3.5,2.50,
2023083158081,6954767412573,6954767412573,2023-08-31 22:29:45,可乐500ml,1,2.2,2.00,
2023083158081,6907992103952,6907992103952,2023-08-31 22:29:45,伊利纯牛奶优选牧场180ml,1,3,2.60,
2023083110231,220008069,220008069,2023-08-31 22:20:35,照烧脆骨丸 80g,1,5.5,3.20,
2023083157842,221055448,221055448,2023-08-31 22:19:46,众望小麻花,2,1.4,0.80,
2023083157842,221055425,221055425,2023-08-31 22:19:46,趣味多啵啵麻薯,1,1.6,0.96,
2023083142396,6921895905109,6921895905109,2023-08-31 22:19:19,中街大果系列,1,2,1.40,
2023083152429,6970399923096,6970399923096,2023-08-31 22:18:58,元气森林苏打气泡水480ml,1,3.99,3.15,
2023083143651,6922255447833,6922255447833,2023-08-31 22:18:46,百岁山矿泉水348ml,1,1.7,1.20,
2023083180487,6954767442075,6954767442075,2023-08-31 22:17:21,芬达500ml,1,2.2,2.13,
2023083170877,6921168509256,6921168509256,2023-08-31 22:16:33,农夫山泉矿泉水550ml,1,1.2,0.90,
2023083108215,6973559790064,6973559790064,2023-08-31 22:14:48,乐知橙双柚汁310ml,1,6,3.75,
2023083157078,6937451833267,6937451833267,2023-08-31 22:12:18,不二家棒棒糖,1,0.7,0.42,
2023083177852,6921956637826,6921956637826,2023-08-31 22:10:02,亨氏番茄沙司320g,1,8.9,6.25,
2023083177852,6970717330315,6970717330315,2023-08-31 22:10:02,桃李醇熟切片面包,1,8.5,7.00,
2023083177852,6901285991271,6901285991271,2023-08-31 22:10:02,怡宝1.555L,1,2.5,2.17,
2023083104945,6970717330124,6970717330124,2023-08-31 22:04:56,桃李鸡蛋香松面包,1,4.5,3.60,
2023083195537,221055444,221055444,2023-08-31 22:04:25,三明治,1,9.4,5.00,
2023083195537,6922711403946,6922711403946,2023-08-31 22:04:25,优形沙拉鸡胸肉100g,2,18.08,13.20,
2023083109511,6937439915251,6937439915251,2023-08-31 21:57:20,脆升升香脆薯条袋装100g,1,11.9,7.59,
2023083109511,6937439914988,6937439914988,2023-08-31 21:57:20,脆升升香脆薯条袋装100g,1,11.9,7.59,
2023083190799,6971558610017,6971558610017,2023-08-31 21:56:51,李子柒螺蛳粉,1,11.9,8.00,
2023083190799,6975174590210,6975174590210,2023-08-31 21:56:51,刁明袋装即食系列,1,10.3,6.40,
2023083190799,6901668936318,6901668936318,2023-08-31 21:56:51,奥利奥可可脆卷50g,1,5.8,4.20,
2023083190799,8858702431606,8858702431606,2023-08-31 21:56:51,泰国小老板香脆海苔卷,1,13.9,10.50,
2023083190799,6970583880389,6970583880389,2023-08-31 21:56:51,心食代辣条扛把子,1,1.2,0.65,
2023083190799,6906839618604,6906839618604,2023-08-31 21:56:51,旺旺维多粒果冻爽,1,2.59,1.66,
2023083190799,6958395800535,6958395800535,2023-08-31 21:56:51,林仔豆角干36g,2,1.98,1.26,
2023083190799,6974386750375,6974386750375,2023-08-31 21:56:51,小李传说牛排40g,1,2.8,1.20,
2023083190799,6920338000050,6920338000050,2023-08-31 21:56:51,闻塞曲去骨鸭掌,3,6.6,4.17,
2023083190799,6956590304773,6956590304773,2023-08-31 21:56:51,海天山庄酸甜话梅35g,1,1.2,0.61,
2023083190799,6956590304988,6956590304988,2023-08-31 21:56:51,海天山庄雪梅,1,1.2,0.61,
2023083190799,6970583880099,6970583880099,2023-08-31 21:56:51,日式调味面制品,3,3.6,1.95,
2023083190799,6930487920475,6930487920475,2023-08-31 21:56:51,麻辣王子地道辣条,1,1.2,0.73,
2023083190799,6957813200155,6957813200155,2023-08-31 21:56:51,薯都薯烟火气56g,1,5.2,2.94,
2023083190799,6945209115046,6945209115046,2023-08-31 21:56:51,爱亿华水果夹心棉花糖90g,1,7,5.50,
2023083190799,6971973442057,6971973442057,2023-08-31 21:56:51,禧遇橡皮糖,1,2.7,1.61,
2023083190799,6901845043594,6901845043594,2023-08-31 21:56:51,百奇系列,1,7.2,5.77,
2023083190799,6920907808117,6920907808117,2023-08-31 21:56:51,好丽友好多鱼,1,5,2.87,
2023083190799,6970140841617,6970140841617,2023-08-31 21:56:51,*蜜雪冰城饮品系列450ml,1,4.5,2.84,
2023083198037,6907992106199,6907992106199,2023-08-31 21:50:48,伊利高钙0蔗糖风味发酵乳180g,1,4,3.50,
2023083198037,8809420331754,8809420331754,2023-08-31 21:50:48,可拉奥系列,1,3.5,2.06,
2023083198037,8809420331693,8809420331693,2023-08-31 21:50:48,可拉奥系列,1,3.5,2.06,
2023083198037,8809420331594,8809420331594,2023-08-31 21:50:48,可拉奥系列,1,3.5,2.06,
2023083164981,6921369800060,6921369800060,2023-08-31 21:45:30,*蒙元宽牛肉酱350g,1,38.9,28.00,
2023083183485,6950822600510,6950822600510,2023-08-31 21:42:24,龙山泉啤酒干啤480ml,2,9,7.18,
2023083183485,6973748100681,6973748100681,2023-08-31 21:42:24,拾光悠味网红辣条小包装,1,1.3,0.64,
2023083183485,6907992103952,6907992103952,2023-08-31 21:42:24,伊利纯牛奶优选牧场180ml,1,3,2.60,
2023083183485,6973934040067,6973934040067,2023-08-31 21:42:24,我的天呐桶装速食系列,1,12.5,8.23,
2023083198301,8859015700168,8859015700168,2023-08-31 21:41:38,if泰国椰子水350ml,1,6.9,4.38,
2023083187271,6950822600510,6950822600510,2023-08-31 21:39:30,龙山泉啤酒干啤480ml,1,4.5,3.59,
2023083136548,221055280,221055280,2023-08-31 21:37:57,华味亨乌梅,1,2.3,1.36,
2023083136548,6940230304056,6940230304056,2023-08-31 21:37:57,鱼鲜生花生90g,1,4.3,2.80,
2023083136548,6924391089557,6924391089557,2023-08-31 21:37:57,徽之梦果仁系列,2,9.2,5.76,
2023083136548,6971973440503,6971973440503,2023-08-31 21:37:57,梅町日记蜜饯系列,1,2.2,1.31,
2023083136548,8801073110502,8801073110502,2023-08-31 21:37:57,韩国三养火鸡面系列,1,6.9,5.02,
2023083127620,6958770002523,6958770002523,2023-08-31 21:36:25,莫小仙自热火锅,2,25.2,16.60,
2023083127620,6954767412573,6954767412573,2023-08-31 21:36:25,可乐500ml,1,2.2,2.00,
2023083120078,6974106600027,6974106600027,2023-08-31 21:35:37,HOHO橄榄汁（玻璃瓶）,1,10.9,6.63,
2023083120078,6921168558049,6921168558049,2023-08-31 21:35:37,农夫山泉东方树叶,2,7.8,6.78,
2023083120078,6971973442088,6971973442088,2023-08-31 21:35:37,禧遇橡皮糖,1,2.7,1.54,
2023083120078,6970745452638,6970745452638,2023-08-31 21:35:37,*橙子快跑低脂鸡胸肉,1,3.2,2.00,
2023083120078,6971973442095,6971973442095,2023-08-31 21:35:37,禧遇橡皮糖,1,2.7,1.71,
2023083120078,6971973442057,6971973442057,2023-08-31 21:35:37,禧遇橡皮糖,1,2.7,1.61,
2023083120078,221055280,221055280,2023-08-31 21:35:37,华味亨乌梅,2,4.6,2.72,
2023083120078,8809022200762,8809022200762,2023-08-31 21:35:37,芭蜂坚果系列,1,8.5,5.10,
2023083120078,6956590304773,6956590304773,2023-08-31 21:35:37,海天山庄酸甜话梅35g,1,1.2,0.61,
2023083120078,6956426020112,6956426020112,2023-08-31 21:35:37,中洲渔馆魔芋贡菜15g,1,1.2,0.60,
2023083120078,6956426020129,6956426020129,2023-08-31 21:35:37,中洲渔馆魔芋贡菜15g,1,1.2,0.60,
2023083108977,6973497201752,6973497201752,2023-08-31 21:34:47,果子熟了多多茶系列,1,5.4,3.80,
2023083108977,6907992513935,6907992513935,2023-08-31 21:34:47,伊利臻浓牛奶袋装230ml,1,3,2.25,
2023083112636,6907992822723,6907992822723,2023-08-31 21:33:07,巧乐兹系列,2,8,6.00,
2023083112636,6923644230135,6923644230135,2023-08-31 21:33:07,蒙牛随变经典香草口味冰淇淋,2,8,6.00,
2023083112636,6909493401025,6909493401025,2023-08-31 21:33:07,可爱多甜筒,1,5.5,3.75,
2023083126885,6956426020129,6956426020129,2023-08-31 21:30:29,中洲渔馆魔芋贡菜15g,1,1.2,0.60,
2023083126885,6956426020112,6956426020112,2023-08-31 21:30:29,中洲渔馆魔芋贡菜15g,1,1.2,0.60,
2023083126885,6975184370789,6975184370789,2023-08-31 21:30:29,集千味鱼板烧22g,2,2.4,1.40,
2023083126885,6975184370765,6975184370765,2023-08-31 21:30:29,集千味鱼板烧22g,2,2.4,1.40,
2023083181977,6973497202605,6973497202605,2023-08-31 21:27:44,果子熟了乌龙茶饮料487ml,1,5.3,3.85,
2023083115477,6972549661278,6972549661278,2023-08-31 21:26:00,三得利茉莉乌龙茶1.25L,1,10.9,7.50,
2023083111993,6905734301031,6905734301031,2023-08-31 21:25:27,旺旺浪味仙蔬菜味70g,1,7.5,4.80,
2023083111993,221055373,221055373,2023-08-31 21:25:27,热狗,1,5.92,4.00,
2023083115576,6970605361643,6970605361643,2023-08-31 21:24:41,宁萌佳的水就是柠檬水500ml,1,4.5,2.50,
2023083115576,6971329925166,6971329925166,2023-08-31 21:24:41,依能无糖苏打水饮料900ml,1,3.99,2.25,
2023083115576,8859015700168,8859015700168,2023-08-31 21:24:41,if泰国椰子水350ml,1,6.9,4.38,
2023083115576,8858735501383,8858735501383,2023-08-31 21:24:41,三麟椰子水330ml,1,8.5,4.77,
2023083116836,4897073103938,4897073103938,2023-08-31 21:24:20,福爽园香辣味毛豆150g,1,9.4,6.50,
2023083116836,6918638694468,6918638694468,2023-08-31 21:24:20,干啤500ml大听,4,18.6,14.00,
2023083185615,6921168596348,6921168596348,2023-08-31 21:23:08,农夫山泉东方树叶,2,7.8,6.78,
2023083185615,6975176781777,6975176781777,2023-08-31 21:23:08,元气森林苏打气泡水480ml,1,3.99,3.15,
2023083185615,6970399922655,6970399922655,2023-08-31 21:23:08,元气森林苏打气泡水480ml,1,3.99,3.15,
2023083127408,6923841903559,6923841903559,2023-08-31 21:22:37,佳龙鲜笋魔芋,1,1.2,0.70,
2023083127408,6923841903535,6923841903535,2023-08-31 21:22:37,佳龙鲜笋魔芋,1,1.2,0.70,
2023083127408,6916344661798,6916344661798,2023-08-31 21:22:37,泓一巧克力涂层蛋糕,1,1.5,0.76,
2023083127408,6952480090870,6952480090870,2023-08-31 21:22:37,梅冻,1,7.6,5.00,
2023083127408,6935284488883,6935284488883,2023-08-31 21:22:37,卫龙面筋24g,2,2.4,1.26,
2023083127408,6932066960995,6932066960995,2023-08-31 21:22:37,特怡诗山楂球40g,1,3.5,2.18,
2023083166618,6972549660332,6972549660332,2023-08-31 21:21:22,三得利沁系列饮料550ml,1,4.8,3.00,
2023083166618,6956426020129,6956426020129,2023-08-31 21:21:22,中洲渔馆魔芋贡菜15g,4,4.8,2.40,
2023083133792,6920698400774,6920698400774,2023-08-31 21:19:03,康师傅开心桶红烧牛肉面(桶装),1,4.5,3.78,
2023083133792,6971973442200,6971973442200,2023-08-31 21:19:03,禧遇棉花糖,1,2.5,1.54,
2023083141886,6921168500970,6921168500970,2023-08-31 21:16:49,水溶C445ml,1,4.9,3.54,
2023083141886,6973497200311,6973497200311,2023-08-31 21:16:49,果子熟了多多茶系列,1,5.4,3.80,
2023083141886,6954767442471,6954767442471,2023-08-31 21:16:49,芬达1.25L,1,5.5,3.83,
2023083186247,6921168558049,6921168558049,2023-08-31 21:16:30,农夫山泉东方树叶,1,3.9,3.39,
2023083186247,6925303795214,6925303795214,2023-08-31 21:16:30,统一茄皇桶面,1,5.8,4.08,
2023083186247,6926417707254,6926417707254,2023-08-31 21:16:30,桃李盐焗卤蛋30g,1,2,1.60,
2023083161699,3179730010591,3179730010591,2023-08-31 21:15:38,法国巴黎水,1,7.8,4.98,
2023083161699,6970006620639,6970006620639,2023-08-31 21:15:38,好欢螺螺蛳粉加臭加辣款,1,16.5,10.50,
2023083161699,6922577743095,6922577743095,2023-08-31 21:15:38,君乐宝奶皮纯牛奶,1,3.5,3.00,
2023083161699,4897043066829,4897043066829,2023-08-31 21:15:38,U100蜜饯系列,1,6.9,3.96,
2023083137870,6925303795153,6925303795153,2023-08-31 21:02:09,统一小当家干脆面系列,1,0.9,0.70,
2023083137870,6925303744380,6925303744380,2023-08-31 21:02:09,统一小当家干脆面系列,1,0.45,0.38,
2023083199962,6925303771980,6925303771980,2023-08-31 20:58:47,统一酱拌面,1,7.5,4.75,
2023083199962,6932988430286,6932988430286,2023-08-31 20:58:47,金锣清真鸡肉肠120g,1,2.5,1.67,
2023083105534,6973497200267,6973497200267,2023-08-31 20:57:46,果子熟了活力水平衡系列,1,4.8,3.00,
2023083142042,6920180209724,6920180209724,2023-08-31 20:55:57,屈臣氏苏打汽水,1,4.6,3.38,
2023083142042,6920180246071,6920180246071,2023-08-31 20:55:57,屈臣氏苏打汽水,1,4.6,3.38,
2023083142042,6926265313386,6926265313386,2023-08-31 20:55:57,上好佳鲜虾片,1,7.5,4.80,
2023083118322,6921168520015,6921168520015,2023-08-31 20:55:51,农夫山泉饮用天然水1.5L,1,2.5,1.78,
2023083118322,6920907823448,6920907823448,2023-08-31 20:55:51,好有趣凹凸薯片70g,1,5.9,3.85,
2023083118322,6972636670213,6972636670213,2023-08-31 20:55:51,王小卤虎皮凤爪系列105g,1,16.4,10.20,
2023083118322,6935284499995,6935284499995,2023-08-31 20:55:51,卫龙大面筋 102g,1,4.2,2.40,
2023083129496,6973497202513,6973497202513,2023-08-31 20:52:45,果子熟了乌龙茶饮料487ml,1,5.03,3.85,
2023083116186,6974348720859,6974348720859,2023-08-31 20:49:37,喜茶果汁茶450ml,1,7.9,5.76,
2023083116186,6921168596348,6921168596348,2023-08-31 20:49:37,农夫山泉东方树叶,2,7.8,6.78,
2023083116186,6907992513935,6907992513935,2023-08-31 20:49:37,伊利臻浓牛奶袋装230ml,1,3,2.25,
2023083116186,221055446,221055446,2023-08-31 20:49:37,好丽友果滋果心小包装软糖,1,1.2,0.60,
2023083116186,221055445,221055445,2023-08-31 20:49:37,好丽友果滋果心小包装软糖,1,1.2,0.61,
2023083116186,221055447,221055447,2023-08-31 20:49:37,好丽友果滋果心小包装软糖,1,1.2,0.59,
2023083116186,6925303795153,6925303795153,2023-08-31 20:49:37,统一小当家干脆面系列,4,3.6,2.80,
2023083116186,6925303795115,6925303795115,2023-08-31 20:49:37,统一小当家干脆面系列,2,1.8,1.60,
2023083116186,6925303744380,6925303744380,2023-08-31 20:49:37,统一小当家干脆面系列,2,0.9,0.76,
2023083116186,6925303713300,6925303713300,2023-08-31 20:49:37,统一小当家干脆面系列,2,0.9,0.76,
2023083116178,69029783,69029783,2023-08-31 20:49:05,德芙巧克力小包装,1,2,1.67,
2023083102837,6901285991530,6901285991530,2023-08-31 20:48:03,怡宝纯净水 4.5L,1,7.9,6.30,
2023083102837,6970399922365,6970399922365,2023-08-31 20:48:03,外星人电解质水500ml,2,11.6,8.66,
2023083146132,6921168593545,6921168593545,2023-08-31 20:46:15,农夫山泉矿泉水 5L,1,7.9,6.70,
2023083169554,221055443,221055443,2023-08-31 20:45:18,三明治,1,9.9,5.00,
2023083113420,6901236374375,6901236374375,2023-08-31 20:44:38,维达4层手帕纸,1,0.8,0.56,
2023083165550,6976867640014,6976867640014,2023-08-31 20:44:06,悠闲客怪味豆,1,1.7,1.01,
2023083165550,6970745457169,6970745457169,2023-08-31 20:44:06,*橙子快跑低脂鸡胸肉,1,3.2,2.00,
2023083165550,221055391,221055391,2023-08-31 20:44:06,华味亨老婆梅,1,2.5,1.52,
2023083165550,221055519,221055519,2023-08-31 20:44:06,辣食主播牙签油豆腐,1,1.8,1.09,
2023083165550,6954774500157,6954774500157,2023-08-31 20:44:06,万顺隆果干,1,0.7,0.40,
2023083165550,6930487920475,6930487920475,2023-08-31 20:44:06,麻辣王子地道辣条,1,1.2,0.73,
2023083165550,6921643820982,6921643820982,2023-08-31 20:44:06,赛1手工辣条系列,2,1.8,1.08,
2023083165550,6958395800535,6958395800535,2023-08-31 20:44:06,林仔豆角干36g,1,0.99,0.63,
2023083165550,6935284455595,6935284455595,2023-08-31 20:44:06,卫龙亲嘴烧24g,1,1.2,0.59,
2023083165550,6935284455557,6935284455557,2023-08-31 20:44:06,卫龙亲嘴烧24g,1,1.2,0.59,
2023083171879,6976867640014,6976867640014,2023-08-31 20:43:19,悠闲客怪味豆,4,6.44,4.04,
2023083135543,6901668200082,6901668200082,2023-08-31 20:42:06,太平梳打饼干,1,4.8,3.61,
2023083135543,6901668935724,6901668935724,2023-08-31 20:42:06,奥利奥夹心饼干97g,1,8.3,5.50,
2023083108962,6973497202506,6973497202506,2023-08-31 20:41:38,果子熟了乌龙茶饮料487ml,1,5.3,3.85,
2023083108962,6921168558049,6921168558049,2023-08-31 20:41:38,农夫山泉东方树叶,1,3.9,3.39,
2023083108962,6973497202520,6973497202520,2023-08-31 20:41:38,果子熟了乌龙茶饮料487ml,1,5.3,3.85,
2023083120941,6950822600510,6950822600510,2023-08-31 20:39:18,龙山泉啤酒干啤480ml,20,90,71.80,
2023083120941,6924187851160,6924187851160,2023-08-31 20:39:18,洽洽瓜子系列108g,1,7.39,5.31,
2023083120941,6924187851184,6924187851184,2023-08-31 20:39:18,洽洽瓜子系列108g,1,7.39,5.31,
2023083120941,75032715,75032715,2023-08-31 20:39:18,科罗娜啤酒,7,62.3,37.94,
2023083120941,8850389101391,8850389101391,2023-08-31 20:39:18,摩咕摩咕椰果饮料320ml,2,13.8,8.00,
2023083130034,6954767412573,6954767412573,2023-08-31 20:38:32,可乐500ml,1,2.2,2.00,
2023083182424,6973748100568,6973748100568,2023-08-31 20:35:16,拾光悠味网红辣条小包装,2,2.46,1.26,
2023083182424,6971106101004,6971106101004,2023-08-31 20:35:16,邬辣妈星座系列,1,2.84,1.90,
2023083182424,6935284412178,6935284412178,2023-08-31 20:35:16,卫龙大面筋65g,1,3.32,1.79,
2023083182424,6921168598427,6921168598427,2023-08-31 20:35:16,农夫山泉东方树叶,1,7.12,4.92,
2023083182424,6917878353975,6917878353975,2023-08-31 20:35:16,雀巢脆脆鲨威化,1,1.14,0.79,
2023083182424,6917878000879,6917878000879,2023-08-31 20:35:16,雀巢脆脆鲨威化,2,2.28,1.62,
2023083182424,6922577726258,6922577726258,2023-08-31 20:35:16,君乐宝简醇袋150g,2,4.74,4.00,
2023083182424,6924743927940,6924743927940,2023-08-31 20:35:16,乐事无限薯片90g（罐装）,1,8.07,7.07,
2023083182424,6924743927933,6924743927933,2023-08-31 20:35:16,乐事无限薯片90g（罐装）,1,8.07,7.07,
2023083114231,6925303713003,6925303713003,2023-08-31 20:32:10,统一小浣熊干脆面,2,1.8,1.46,
2023083114231,6932988430286,6932988430286,2023-08-31 20:32:10,金锣清真鸡肉肠120g,1,2.5,1.67,
2023083114231,6971061519081,6971061519081,2023-08-31 20:32:10,燃力士复合营养素气泡水480ml,1,5,3.53,
2023083118336,6950822600510,6950822600510,2023-08-31 20:31:40,龙山泉啤酒干啤480ml,2,9,7.18,
2023083149459,6901285991271,6901285991271,2023-08-31 20:30:08,怡宝1.555L,1,2.5,2.17,
2023083149459,8809420331600,8809420331600,2023-08-31 20:30:08,可拉奥系列,1,3.5,2.06,
2023083149459,8809420331693,8809420331693,2023-08-31 20:30:08,可拉奥系列,1,3.5,2.06,
2023083149459,6925303795115,6925303795115,2023-08-31 20:30:08,统一小当家干脆面系列,2,1.8,1.60,
2023083167210,6907992500942,6907992500942,2023-08-31 20:25:03,伊利纯牛奶无菌枕240ml,1,2.5,2.00,
2023083164576,6950822602064,6950822602064,2023-08-31 20:23:03,龙山泉原浆白啤480ml,6,40.8,27.48,
2023083197448,220005070,220005070,2023-08-31 20:22:47,印迹原味烤肠 78g,1,2,1.20,
2023083153232,6971797521907,6971797521907,2023-08-31 20:20:07,麦程巧克力豆曲奇,1,0.8,0.48,
2023083153232,6909493401025,6909493401025,2023-08-31 20:20:07,可爱多甜筒,1,5.5,3.75,
2023083167153,6973590224740,6973590224740,2023-08-31 20:19:47,回味一梦手撕风干鸭脖65g,1,8.9,6.24,
2023083167153,6971807590169,6971807590169,2023-08-31 20:19:47,食族人螺蛳粉202g（新包装）,1,10.9,7.00,
2023083187072,6901285991271,6901285991271,2023-08-31 20:13:01,怡宝1.555L,1,2.5,2.17,
2023083187072,6947245883293,6947245883293,2023-08-31 20:13:01,口水娃卤藕片系列,2,2.4,1.40,
2023083187072,6947245883309,6947245883309,2023-08-31 20:13:01,口水娃卤藕片系列,2,2.4,1.40,
2023083187072,6921643820982,6921643820982,2023-08-31 20:13:01,赛1手工辣条系列,2,1.8,1.08,
2023083187072,6970583880105,6970583880105,2023-08-31 20:13:01,日式调味面制品,2,2.4,1.30,
2023083172903,6920338000036,6920338000036,2023-08-31 20:09:28,闻塞曲去骨凤爪,2,4.4,2.74,
2023083172903,6948004703913,6948004703913,2023-08-31 20:09:28,鲜引力果干,1,6.5,3.81,
2023083172903,221055472,221055472,2023-08-31 20:09:28,牛海哥鲍头八爪鱼,2,5.8,2.08,
2023083172903,6914973600041,6914973600041,2023-08-31 20:09:28,德芙巧克力43g,1,9.6,7.20,
2023083172903,6975184370741,6975184370741,2023-08-31 20:09:28,集千味火锅蟹味排22g,2,2.4,1.40,
2023083172903,4710111904246,4710111904246,2023-08-31 20:09:28,绿力台湾进口果汁饮料490ml,1,7.8,4.67,
2023083138632,6956590305992,6956590305992,2023-08-31 20:07:34,*海天山庄巴旦木12g,1,1.2,0.61,
2023083138632,6937638103855,6937638103855,2023-08-31 20:07:34,思宏香酥灰枣,1,1.7,0.97,
2023083138632,221055447,221055447,2023-08-31 20:07:34,好丽友果滋果心小包装软糖,1,1.2,0.59,
2023083138632,221055445,221055445,2023-08-31 20:07:34,好丽友果滋果心小包装软糖,1,1.2,0.61,
2023083115284,8809296888543,8809296888543,2023-08-31 20:06:09,啵乐乐瓶装饮料,1,5.5,3.46,
2023083115284,6906839615764,6906839615764,2023-08-31 20:06:09,旺旺维多粒果冻爽,1,2.59,1.66,
2023083178785,221055432,221055432,2023-08-31 20:03:51,瑞士卷,1,7.5,3.30,
2023083178785,221055443,221055443,2023-08-31 20:03:51,三明治,1,9.4,5.00,
2023083178785,6924391089083,6924391089083,2023-08-31 20:03:51,徽之梦果仁系列,1,4.27,2.71,
2023083149768,6901285991219,6901285991219,2023-08-31 20:02:09,怡宝纯净水 555ml,1,1.5,1.00,
2023083196144,220048073,220048073,2023-08-31 19:58:40,名古屋唐扬串 100g,1,6,4.40,
2023083196144,221055377,221055377,2023-08-31 19:58:40,日式烧汁鸡肉串70g,1,5,3.30,
2023083196144,6921168500956,6921168500956,2023-08-31 19:58:40,水溶C445ml,1,4.9,3.54,
2023083129781,6954432710256,6954432710256,2023-08-31 19:57:09,炫迈口香糖,1,9.9,8.60,
2023083129781,6907992400754,6907992400754,2023-08-31 19:57:09,伊利牛奶片,1,1.9,1.17,
2023083166863,6921168558049,6921168558049,2023-08-31 19:56:16,农夫山泉东方树叶,1,3.9,3.39,
2023083114672,6917878047898,6917878047898,2023-08-31 19:55:51,雀巢1+2咖啡7条系列,1,13.2,8.90,
2023083144819,6922255451427,6922255451427,2023-08-31 19:54:11,百岁山矿泉水570ml,1,1.99,1.65,
2023083126568,6921168520015,6921168520015,2023-08-31 19:54:01,农夫山泉饮用天然水1.5L,1,2.5,1.78,
2023083189065,6952675390211,6952675390211,2023-08-31 19:51:03,久久丫鹌鹑蛋卤香味130g,1,13.4,8.50,
2023083189065,6942687801553,6942687801553,2023-08-31 19:51:03,多点滋秘卤黑猪肉60g,1,11.5,7.30,
2023083189065,6952096711619,6952096711619,2023-08-31 19:51:03,小梅的零食炭火烤肉48g,1,14.99,10.00,
2023083140008,6970717330261,6970717330261,2023-08-31 19:49:24,桃李玉米切片,1,7.5,6.00,
2023083140008,6921168559244,6921168559244,2023-08-31 19:49:24,水溶C445ml,1,4.9,3.54,
2023083140008,6974480214124,6974480214124,2023-08-31 19:49:24,珍珍荔枝饮料听装330ml,1,2.4,1.52,
2023083167365,6920180209601,6920180209601,2023-08-31 19:48:27,屈臣氏苏打汽水,1,4.6,3.38,
2023083167365,6970605361643,6970605361643,2023-08-31 19:48:27,宁萌佳的水就是柠檬水500ml,1,4.5,2.50,
2023083167365,6922577766124,6922577766124,2023-08-31 19:48:27,君乐宝悦鲜活牛奶系列,1,13.5,10.50,
2023083167365,6973497200304,6973497200304,2023-08-31 19:48:27,果子熟了多多茶系列,1,5.4,3.80,
2023083170465,6958770001915,6958770001915,2023-08-31 19:47:15,莫小仙煲仔饭275g,1,12.5,8.30,
2023083127660,6971329925180,6971329925180,2023-08-31 19:47:05,依能无糖苏打水饮料900ml,1,3.99,2.25,
2023083112945,6954767442075,6954767442075,2023-08-31 19:47:02,芬达500ml,1,2.2,2.13,
2023083100643,6907992513935,6907992513935,2023-08-31 19:42:21,伊利臻浓牛奶袋装230ml,2,6,4.50,
2023083128640,221055381,221055381,2023-08-31 19:38:47,丸美龙凤纯肉肠80g,1,4,2.20,
2023083183831,6901668936332,6901668936332,2023-08-31 19:37:13,奥利奥可可脆卷50g,1,5.8,4.20,
2023083183831,6937451893056,6937451893056,2023-08-31 19:37:13,不二家可吸果冻156g,1,8.5,4.73,
2023083183831,6921895904898,6921895904898,2023-08-31 19:37:13,中街大果系列,1,2,1.40,
2023083153200,6952480000657,6952480000657,2023-08-31 19:36:09,梅冻,1,7.6,5.00,
2023083153200,6948939602374,6948939602374,2023-08-31 19:36:09,*百草味草莓干100g,1,11.9,9.50,
2023083153200,6921168558032,6921168558032,2023-08-31 19:36:09,农夫山泉东方树叶,2,7.8,6.78,
2023083153200,6921168558018,6921168558018,2023-08-31 19:36:09,农夫山泉东方树叶,2,7.8,6.78,
2023083153200,8801073113428,8801073113428,2023-08-31 19:36:09,韩国三养火鸡面系列,1,8.5,5.75,
2023083153200,8801073113428,8801073113428,2023-08-31 19:36:09,韩国三养火鸡面系列,1,8.5,5.75,
2023083153200,4890008251650,4890008251650,2023-08-31 19:36:09,*Qoo酷儿盒装果汁饮品,1,5.5,3.67,
2023083153200,8855044019745,8855044019745,2023-08-31 19:36:09,Nit奇亚籽饮料290ml,1,8.89,5.61,
2023083153200,6927462200233,6927462200233,2023-08-31 19:36:09,金锣王特级火腿肠100g,5,15,10.00,
2023083132862,6924187820067,6924187820067,2023-08-31 19:36:03,洽洽香瓜子160g,1,6.9,5.16,
2023083189672,6921895905307,6921895905307,2023-08-31 19:34:56,中街冰点糯米糍,1,5,3.50,
2023083132873,6974012730436,6974012730436,2023-08-31 19:34:42,亿莱旺香蕉脆片,1,2.2,1.24,
2023083132873,6920907808117,6920907808117,2023-08-31 19:34:42,好丽友好多鱼,1,5,2.87,
2023083185872,220006273,220006273,2023-08-31 19:33:52,冰拿铁咖啡,1,10,5.00,
2023083185872,220005273,220005273,2023-08-31 19:33:52,拿铁咖啡L,1,10,5.00,
2023083185872,6975073833050,6975073833050,2023-08-31 19:33:52,a1香蕉面包,1,2.9,1.80,
